date,amount,description,category
2024-10-01,50.00,Groceries at Whole Foods,Food
2024-10-02,15.99,Starbucks Coffee,Food
2024-10-03,120.00,Gas,Transportation
2024-10-04,45.00,Netflix Subscription,Entertainment
2024-10-05,30.50,Grocery Store,Food
2024-10-06,25.00,Movie Tickets,Entertainment
2024-10-07,55.75,Dinner at Restaurant,Food
2024-10-08,100.00,Uber Rides,Transportation
2024-10-09,65.00,Doctor Visit,Healthcare
2024-10-10,42.30,Pharmacy,Healthcare
2024-10-11,88.00,Internet Bill,Utilities
2024-10-12,35.50,Pizza Delivery,Food
2024-10-13,125.00,Gas,Transportation
2024-10-14,60.00,Gym Membership,Fitness
2024-10-15,28.99,Amazon Books,Shopping
2024-10-16,45.00,Lunch Meeting,Food
2024-10-17,75.50,Electricity Bill,Utilities
2024-10-18,92.00,Supermarket,Food
2024-10-19,50.00,Ride Share,Transportation
2024-10-20,35.00,Coffee & Snacks,Food
